商品コード,商品名,カテゴリ,標準単価,税区分,勘定科目
P001,桐のまな板（中）,キッチン用品,3800,標準税率(10%),売上高
P002,竹製スパチュラセット,キッチン用品,1980,標準税率(10%),売上高
P003,白磁小鉢3点セット,食器・雑貨,2400,標準税率(10%),売上高
P004,国産桧の風呂椅子,日用品,4200,標準税率(10%),売上高
P005,天然ゴムまな板シート,キッチン用品,890,標準税率(10%),売上高
P006,純綿ふきん5枚組,日用品,1200,標準税率(10%),売上高
P007,和紙ラッピングセット,ギフト用品,650,標準税率(10%),売上高
P008,国産杉の一輪挿し,雑貨,1800,標準税率(10%),売上高
P009,有機玄米（2kg）,食品,1600,軽減税率(8%),売上高
P010,九州産はちみつ（200g）,食品,1450,軽減税率(8%),売上高
P011,梅干し詰め合わせギフト,ギフト用品,2800,軽減税率(8%),売上高
P012,鉄製南部鉄瓶（小）,キッチン用品,8500,標準税率(10%),売上高
P013,漆塗り箸2膳セット,食器・雑貨,3200,標準税率(10%),売上高
P014,手ぬぐい（注染）,雑貨,1100,標準税率(10%),売上高
P015,和風アロマキャンドルセット,雑貨,2200,標準税率(10%),売上高
P016,竹製歯ブラシ3本組,日用品,980,標準税率(10%),売上高
P017,国産みりん（500ml）,食品,780,軽減税率(8%),売上高
P018,だし昆布詰め合わせ（50g）,食品,950,軽減税率(8%),売上高
P019,木製コースター4枚組,雑貨,1600,標準税率(10%),売上高
P020,信楽焼マグカップ,食器・雑貨,2600,標準税率(10%),売上高
P021,和紙メモパッド,文具・雑貨,480,標準税率(10%),売上高
P022,天然わっぱ弁当箱（小）,キッチン用品,4800,標準税率(10%),売上高
P023,米糠石鹸（2個セット）,日用品,1380,標準税率(10%),売上高
P024,和風ギフトボックスM,ギフト用品,320,標準税率(10%),売上高
P025,国産ごま油（170g）,食品,680,軽減税率(8%),売上高
P026,桐のお重（3段）,キッチン用品,12000,標準税率(10%),売上高
P027,麻素材トートバッグ,雑貨,2800,標準税率(10%),売上高
P028,有機緑茶ティーバッグ（30袋）,食品,1200,軽減税率(8%),売上高
P029,陶器の醤油差し,食器・雑貨,1450,標準税率(10%),売上高
P030,和風ギフトラッピングリボン,ギフト用品,280,標準税率(10%),売上高
